Matricula,Nombre_estudiante,Programa_academico,Semestre_del_alumno,Alumnos_Acreditados,Plan_de_estudios,Campus
A01907481,Esteban de la Maza Castro,ITC,Pendiente de Calcular,No Acreditado(a),TEC21,MTY
A02968729,Ashley Anderson,LAD,Primer Semestre,Acreditado(a),TEC21,MTY
A00675087,Benjamin Campbell,LAD,Primer Semestre,Acreditado(a),TEC21,MTY
A04722792,Caroline Davis,LAD,Tercer Semestre,Acreditado(a),TEC21,MTY
A01720476,David Sanchez,ITC,Primer Semestre,Acreditado(a),TEC21,MTY
A06368532,Elizabeth Flores,LAD,Primer Semestre,Acreditado(a),TEC21,TEC21
A06363633,Frederick Garcia,LAD,Primer Semestre,Acreditado(a),TEC21,TEC21
A01479512,Grace Hernandez,LAD,Primer Semestre,Acreditado(a),TEC21,MTY
A06023476,Henry Ingram,LAD,Primer Semestre,Acreditado(a),TEC21,MTY
A04686850,Isabella Johnson,LAD,Primer Semestre,Acreditado(a),TEC21,MTY
A05774525,Jack Kim,LAD,Tercer Semestre,Acreditado(a),TEC21,MTY
A06359902,Katherine Lee,LAD,Primer Semestre,Acreditado(a),TEC21,MTY
A01124652,Leo Martinez,LAD,Tercer Semestre,Acreditado(a),TEC21,MTY
A00273991,Maria Nguyen,LAD,Tercer Semestre,Acreditado(a),TEC21,MTY
A06815237,Nathan Owens,LAD,Primer Semestre,Acreditado(a),TEC21,MTY
A09817981,Olivia Perez,LAD,Primer Semestre,Acreditado(a),TEC21,MTY
A07997694,Patrick Quinn,LAD,Primer Semestre,Acreditado(a),TEC21,MTY
A02005067,Quinn Reynolds,LAD,Primer Semestre,Acreditado(a),TEC21,MTY
A02375271,Rachel Smith,LAD,Primer Semestre,Acreditado(a),TEC21,MTY
A03559325,Samuel Torres,LAD,Primer Semestre,Acreditado(a),TEC21,MTY
A05184363,Taylor Underwood,LAD,Primer Semestre,Acreditado(a),TEC21,MTY
A07406353,Victoria Vasquez,LAD,Primer Semestre,Acreditado(a),TEC21,MTY
A08302102,William Wong,LAD,Primer Semestre,Acreditado(a),TEC21,MTY
A04017622,Xavier Young,LAD,Tercer Semestre,Acreditado(a),TEC21,MTY
A06953379,Yara Zuniga,LAD,Primer Semestre,Acreditado(a),TEC21,MTY
A06334965,Zachary Adams,LAD,Primer Semestre,Acreditado(a),TEC21,MTY
A05814773,Brittany Baker,LAD,Tercer Semestre,Acreditado(a),TEC21,MTY
A05682398,Christopher Brown,LAD,Primer Semestre,Acreditado(a),TEC21,MTY
A02618321,Danielle Cox,LAD,Primer Semestre,Acreditado(a),TEC21,MTY
A04540462,Emily Davis,LAD,Primer Semestre,Acreditado(a),TEC21,MTY
A00045255,Franklin Diaz,LAD,Tercer Semestre,Acreditado(a),TEC21,MTY
A01398433,Gabrielle Edwards,LAD,Primer Semestre,Acreditado(a),TEC21,MTY
A09960835,Harrison Flores,LDI,Primer Semestre,Acreditado(a),TEC21,MTY
A05710094,Isabelle Gonzalez,LDI,Primer Semestre,Acreditado(a),TEC21,MTY
A00751032,Jackson Hall,LDI,Primer Semestre,Acreditado(a),TEC21,MTY
A02738981,Kylie Ingram,LDI,Tercer Semestre,Acreditado(a),TEC21,MTY
A09694177,Lauren Jackson,LDI,Primer Semestre,Acreditado(a),TEC21,MTY
A00896683,Michael Johnson,LDI,Primer Semestre,Acreditado(a),TEC21,MTY
A08543094,Nicholas Kim,LDI,Primer Semestre,Acreditado(a),TEC21,MTY
A04628634,Olivia Lewis,LDI,Primer Semestre,Acreditado(a),TEC21,MTY
A08279518,Paige Martinez,LDI,Primer Semestre,Acreditado(a),TEC21,MTY
A07894904,Quentin Nelson,LDI,Primer Semestre,Acreditado(a),TEC21,MTY
A03043081,Rachel Ortiz,LDI,Segundo Semestre,Acreditado(a),TEC21,MTY
A01473896,Samantha Perez,LDI,Primer Semestre,Acreditado(a),TEC21,MTY
A01617762,Thomas Quinn,LDI,Primer Semestre,Acreditado(a),TEC21,MTY
A09422408,Uma Ramirez,LDI,Primer Semestre,Acreditado(a),TEC21,MTY
A04194425,Victoria Scott,LDI,Primer Semestre,Acreditado(a),TEC21,MTY
A01601996,Wyatt Taylor,LDI,Tercer Semestre,Acreditado(a),TEC21,MTY
A08096562,Xavier Underwood,LDI,Primer Semestre,Acreditado(a),TEC21,MTY
A00118035,Yvette Vasquez,LDI,Primer Semestre,Acreditado(a),TEC21,MTY
A06347422,Zachary Wallace,LDI,Primer Semestre,Acreditado(a),TEC21,MTY
A00888070,Andrew Anderson,LDI,Tercer Semestre,Acreditado(a),TEC21,MTY
A06806950,Bella Brown,LDI,Primer Semestre,Acreditado(a),TEC21,MTY
A03637384,Chloe Campbell,LDI,Primer Semestre,Acreditado(a),TEC21,MTY
A08891257,Dylan Davis,LDI,Primer Semestre,Acreditado(a),TEC21,MTY
A04160889,Evan Edwards,LDI,Primer Semestre,Acreditado(a),TEC21,MTY
A06323649,Fiona Flores,LDI,Primer Semestre,Acreditado(a),TEC21,MTY
A07919006,George Garcia,LDI,Primer Semestre,Acreditado(a),TEC21,MTY
A07243344,Harper Hernandez,LDI,Primer Semestre,Acreditado(a),TEC21,MTY
A08650720,Isla Ingram,LDI,0,Acreditado(a),TEC21,MTY
